Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Gear Position (gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Volts (V),Man Abs Press (psi),RPM (RPM),Req Torque (Nm),TD Boost Error (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-23702][2021 USDM WRX STI COBB Custom Features Gen3][Reflash: LucasW_21STI_STG1e_COBBSF_93oct.ptm - Realtime: LucasW_21STI_STG1e_COBBSF_93oct.ptm]"
1.837,0.00,-0.31,-7.03,0.00,13.09,24,20,3.9,14.36,13.92,-10.08,14.18,0.32,14.13,192,1.000,0.00,0.00,2,40.00,4.90,113,1.72,4.23,2552,9.27,10.38,0.00,8.94,0.000,9.4,22,0.00,0
1.924,0.00,-0.31,-7.03,0.00,13.09,24,20,3.9,14.36,14.16,-10.08,14.25,0.32,14.21,192,1.000,0.00,0.00,2,40.00,4.90,113,1.72,4.23,2550,8.83,10.40,0.00,8.94,0.000,9.4,22,0.00,0
2.001,0.00,-0.31,-7.03,0.00,13.21,23,19,3.9,14.36,14.08,-10.09,14.29,0.31,14.24,192,1.000,0.00,0.00,2,39.50,4.96,113,1.72,4.22,2582,8.84,10.40,0.00,8.94,0.000,9.4,22,0.00,0
2.093,0.00,-0.31,-7.03,0.00,13.32,23,19,4.3,14.36,14.08,-10.12,14.33,0.31,14.30,192,1.000,0.00,0.00,2,39.50,4.94,113,1.70,4.20,2573,9.86,10.42,0.00,8.94,0.000,9.4,22,0.00,0
2.191,0.00,-0.31,-7.03,0.00,13.32,23,18,4.3,14.36,14.08,-10.11,14.40,0.31,14.36,192,1.000,0.00,0.00,2,39.50,4.97,113,1.72,4.20,2591,9.27,10.42,0.00,8.94,0.000,9.4,22,0.00,0
2.280,0.00,-0.31,-7.03,0.00,13.44,23,18,4.3,14.36,14.16,-10.08,14.44,0.31,14.40,192,1.000,0.00,0.00,2,39.00,5.01,113,1.72,4.18,2608,9.07,10.43,0.00,8.94,0.000,9.4,22,0.00,0
2.375,0.00,-0.31,-7.03,0.00,13.55,23,18,4.3,14.36,14.16,-10.11,14.51,0.32,14.47,192,1.000,0.00,0.00,2,39.00,5.02,113,1.72,4.20,2615,9.02,10.43,0.00,8.94,0.000,9.4,22,0.00,0
2.468,0.00,-0.31,-7.03,0.00,13.67,23,17,4.3,14.36,14.00,-10.08,14.55,0.32,14.50,192,1.000,0.00,0.00,2,39.00,5.04,113,1.74,4.23,2623,9.66,10.40,0.00,8.94,0.000,9.4,22,0.00,0
2.560,0.00,-0.31,-7.03,0.00,13.78,22,17,4.3,14.36,14.16,-10.09,14.58,0.32,14.54,192,1.000,0.00,0.00,2,38.50,5.10,113,1.72,4.20,2655,8.88,10.41,0.00,8.94,0.000,9.4,22,0.00,0
2.650,0.00,-0.31,-7.03,0.00,13.90,22,16,3.9,14.36,14.08,-10.11,14.58,0.31,14.54,192,1.000,0.00,0.00,2,38.00,5.11,113,1.74,4.20,2663,8.27,10.42,0.00,8.94,0.000,9.4,22,0.00,0
2.747,0.00,-0.31,-7.03,0.00,14.01,22,16,4.3,14.36,14.16,-10.12,14.58,0.31,14.54,190,1.000,0.00,0.00,2,38.00,5.13,113,1.72,4.20,2672,8.78,10.45,0.00,8.94,0.000,9.4,22,0.00,0
2.833,0.00,-0.31,-7.03,0.00,14.01,22,16,4.3,14.36,14.08,-10.12,14.58,0.31,14.54,190,1.000,0.00,0.00,2,37.50,5.16,113,1.74,4.18,2690,9.22,10.45,0.00,8.94,0.000,9.4,23,0.00,0
2.924,0.00,-0.31,-7.03,0.00,14.13,22,15,3.9,14.36,14.16,-10.14,14.58,0.31,14.54,190,1.000,0.00,0.00,2,37.50,5.18,113,1.74,4.20,2696,8.23,10.44,0.00,8.94,0.000,9.8,23,0.00,0
3.008,0.00,-0.31,-7.03,0.00,14.13,22,15,3.9,14.36,14.00,-10.10,14.58,0.31,14.54,190,1.000,0.00,0.00,2,37.50,5.20,113,1.74,4.20,2708,8.12,10.44,0.00,8.94,0.000,9.8,23,0.00,0
3.108,0.00,-0.31,-7.03,0.00,14.36,22,14,3.9,14.36,14.00,-10.12,14.58,0.31,14.54,190,1.000,0.00,0.00,2,37.00,5.21,113,1.74,4.16,2715,8.49,10.46,0.00,8.94,0.000,9.8,23,0.00,0
3.183,0.00,-0.31,-7.03,0.00,14.36,21,14,3.9,14.36,13.92,-10.14,14.58,0.31,14.54,190,1.000,0.00,0.00,2,37.00,5.23,113,1.74,4.16,2723,7.92,10.45,0.00,8.94,0.000,9.8,23,0.00,0
3.262,0.00,-0.31,-7.03,0.00,14.47,21,13,4.3,14.36,14.08,-10.14,14.58,0.31,14.54,190,1.000,0.00,0.00,2,37.00,5.22,113,1.74,4.18,2717,8.50,10.45,0.00,8.94,0.000,9.8,23,0.00,0
3.350,0.00,-0.31,-7.03,0.00,14.47,21,13,4.3,14.36,14.16,-10.12,14.58,0.31,14.54,190,1.000,0.00,0.00,2,36.50,5.27,113,1.74,4.18,2743,8.34,10.45,0.00,8.94,0.000,9.8,23,0.00,0
3.435,0.00,0.08,-7.03,0.00,14.47,21,13,3.9,14.36,14.00,-10.12,14.51,0.31,14.54,190,1.000,0.00,0.00,2,36.50,4.69,113,1.74,4.16,2746,7.79,10.46,0.00,8.94,0.000,9.8,23,0.00,0
3.527,0.78,0.08,-7.03,0.00,14.59,21,12,4.3,14.36,14.16,-10.09,14.52,0.31,14.54,190,1.000,0.00,0.00,2,37.00,5.24,113,1.74,4.20,2727,8.32,10.44,0.00,8.94,0.000,9.8,23,0.00,0
3.612,0.78,0.08,-7.03,0.00,14.70,21,12,4.3,14.36,14.00,-10.04,14.53,0.31,14.54,190,1.000,0.00,0.00,2,37.00,5.24,113,1.76,4.23,2730,8.96,10.39,0.00,8.94,0.000,9.8,24,0.00,0
3.709,1.56,0.16,-7.03,0.00,14.70,21,12,4.3,14.36,14.16,-10.03,14.52,0.31,14.54,190,1.000,0.00,0.00,2,37.00,5.25,113,1.76,4.27,2736,8.92,10.36,0.00,8.94,0.000,9.8,24,0.00,0
3.789,0.78,0.08,-7.03,0.00,14.59,21,12,4.3,14.36,14.08,-10.02,14.52,0.32,14.54,190,1.000,0.00,0.00,2,37.00,5.27,113,1.76,4.25,2744,8.87,10.37,0.00,8.94,0.000,9.8,24,0.00,0
3.865,0.00,0.16,-7.03,0.00,14.36,20,12,4.3,14.36,14.00,-10.03,14.52,0.32,14.54,190,1.000,0.00,0.00,2,36.50,5.31,113,1.76,4.25,2767,8.71,10.37,0.00,8.94,0.000,9.8,24,0.00,0
3.948,-0.78,0.16,-7.03,0.00,14.13,20,12,4.3,14.36,14.16,-10.04,14.52,0.32,14.54,190,1.000,0.00,0.00,2,37.00,5.29,113,1.76,4.31,2756,8.79,10.32,0.00,8.94,0.000,9.8,24,0.00,0
4.048,-2.34,0.16,-7.03,0.00,14.01,20,11,4.7,14.36,14.08,-10.00,14.52,0.32,14.54,190,1.000,0.00,0.00,2,36.50,5.32,111,1.76,4.33,2768,9.23,10.31,0.00,8.94,0.000,9.8,24,0.00,0
4.128,-3.91,0.16,-7.03,0.00,13.90,20,11,4.3,14.36,14.16,-9.99,14.52,0.32,14.54,190,1.000,0.00,0.00,2,36.00,4.78,111,1.76,4.31,2801,8.62,10.32,0.00,8.94,0.000,9.8,24,0.00,0
4.228,-5.47,0.00,-7.03,0.00,13.78,21,10,4.7,14.36,14.00,-9.98,14.53,0.31,14.86,190,1.000,0.00,0.00,2,36.00,4.81,111,1.76,4.33,2817,8.98,10.31,0.00,8.94,0.000,9.8,24,0.00,0
4.311,-7.81,-0.31,-8.59,0.00,13.78,20,10,4.7,14.36,13.92,-9.93,14.56,0.31,14.99,190,1.000,0.00,0.00,2,36.00,4.79,111,1.78,4.29,2809,8.96,10.34,0.00,8.94,0.000,10.2,24,0.00,0
4.396,-8.59,-0.78,-8.59,0.00,13.90,20,10,4.3,14.36,13.92,-9.92,14.60,0.32,15.07,190,1.000,0.00,0.00,2,36.00,4.78,111,1.78,4.35,2800,8.50,10.29,0.00,8.94,0.000,10.2,24,0.00,0
4.469,-9.38,-1.02,-8.59,0.00,14.01,20,10,4.3,14.36,14.00,-9.93,14.65,0.32,15.16,190,1.000,0.00,0.00,2,36.00,4.81,111,1.78,4.39,2818,8.68,10.24,0.00,8.94,0.000,9.8,24,0.00,0
4.556,-10.16,-1.09,-8.59,0.00,14.24,20,10,4.3,14.36,14.16,-9.94,14.70,0.32,15.27,190,1.000,0.00,0.00,2,36.50,4.77,111,1.76,4.39,2795,8.02,10.24,0.00,8.94,0.000,9.8,24,0.00,0
4.646,-10.94,-0.86,-7.03,0.00,14.36,20,10,0.4,14.36,13.92,-9.96,14.69,0.32,15.34,190,1.000,0.00,0.00,2,36.00,4.80,111,1.74,4.37,2812,6.36,10.27,0.00,8.94,0.000,9.4,24,0.00,0
4.731,-10.94,-0.55,-7.03,0.00,14.36,20,4,0.0,14.36,14.16,-10.15,14.62,0.30,15.56,190,1.000,0.00,0.00,2,34.50,4.21,111,1.70,4.16,2817,4.71,10.49,0.00,0.00,0.000,9.0,24,0.00,0
4.817,-12.50,-0.23,-7.03,0.00,14.01,18,2,0.0,14.36,14.16,-10.45,14.58,0.27,15.58,190,1.000,0.00,0.00,2,25.00,4.18,111,1.60,3.98,2800,0.00,10.66,0.00,0.00,0.000,7.1,24,0.00,0
4.900,0.00,-0.16,-7.03,0.00,13.44,16,2,0.0,14.36,14.16,-10.82,14.56,0.22,15.49,190,1.000,0.00,0.00,0,23.50,0.00,111,1.54,3.62,2788,0.00,11.02,0.00,0.00,0.000,7.1,24,0.00,0
4.980,0.00,-0.16,-7.03,0.00,12.75,14,2,0.0,14.36,14.08,-10.91,14.56,0.20,14.96,190,1.000,0.00,0.00,2,23.00,0.00,111,1.50,3.38,2732,0.00,11.25,0.00,0.00,0.000,6.3,24,0.00,0
5.068,0.00,-0.16,-7.03,0.00,12.63,12,2,0.0,14.36,14.16,-10.95,14.56,0.19,14.84,190,1.000,0.00,0.00,2,22.50,0.00,111,1.48,3.35,2700,0.00,11.29,0.00,0.00,0.000,6.3,24,0.00,0
5.145,0.00,-0.16,-7.03,0.00,12.75,11,2,2.7,14.36,14.08,-10.94,14.56,0.18,14.75,190,1.000,0.00,0.00,2,31.00,3.37,111,1.48,3.35,2631,6.16,11.29,0.00,0.00,0.000,7.1,24,0.00,0
5.236,0.00,-0.16,-7.03,0.00,13.21,9,2,7.8,14.36,14.08,-10.38,14.56,0.21,14.69,190,1.000,0.00,0.00,2,35.50,3.81,111,1.70,3.42,2550,42.23,11.23,0.00,8.94,0.000,11.0,24,0.00,0
5.302,0.00,-0.16,-8.59,0.00,13.78,8,2,7.8,14.36,14.16,-8.58,14.56,0.39,12.70,190,1.000,0.00,0.00,2,49.00,5.63,111,2.00,5.18,2399,43.18,9.47,0.00,8.94,0.000,14.1,24,0.00,0
5.385,0.00,-0.16,-8.59,0.00,14.36,14,3,7.5,14.36,13.92,-7.56,14.56,0.54,12.41,190,1.000,0.00,0.00,2,47.50,6.41,111,2.00,6.34,2311,36.43,8.13,0.00,8.94,0.000,12.9,24,0.00,0
5.476,0.00,-0.16,-8.59,0.00,14.70,22,5,6.7,14.36,14.00,-7.52,14.56,0.57,14.52,190,1.000,0.00,0.00,3,46.50,6.23,111,1.92,6.86,2246,25.61,7.77,0.00,8.94,0.000,11.8,24,0.00,0
5.540,-1.56,0.31,-8.59,0.00,14.01,28,7,7.1,14.36,14.16,-7.99,14.56,0.52,14.52,190,1.000,0.00,0.00,3,46.00,5.24,111,1.80,6.67,2048,29.58,7.98,0.00,8.94,0.000,10.6,24,0.00,0
5.630,-4.69,0.39,-8.59,0.00,13.55,29,8,7.1,14.36,14.00,-8.12,14.48,0.48,14.53,190,1.000,0.00,0.00,3,46.00,4.73,111,1.78,6.23,2014,29.73,8.43,0.00,8.94,0.000,9.8,24,0.00,0
5.720,-7.03,0.39,-7.03,0.00,13.32,28,9,7.1,14.36,14.16,-8.46,14.49,0.44,14.54,190,1.000,0.00,0.00,3,27.50,4.45,111,1.76,6.01,2088,33.28,8.64,0.00,8.94,0.000,10.2,24,0.00,0
5.811,-8.59,-0.16,-8.59,0.00,13.55,27,11,7.1,14.36,13.92,-8.32,14.57,0.44,14.55,190,1.000,0.00,0.00,3,47.00,4.34,111,1.80,5.99,2036,29.68,8.66,0.00,8.94,0.000,10.2,24,0.00,0
5.909,-8.59,-0.55,-8.59,0.00,13.90,26,12,7.1,14.36,13.92,-8.40,14.63,0.43,14.55,190,1.000,0.00,0.00,3,39.50,4.41,111,1.78,5.96,2066,29.58,8.68,0.00,8.94,0.000,10.2,25,0.00,0
5.985,-8.59,-0.55,-8.59,0.00,14.47,25,14,7.1,14.36,14.08,-8.40,14.65,0.43,14.55,190,1.000,0.00,0.00,3,47.50,4.38,111,1.78,5.86,2054,29.65,8.78,0.00,8.94,0.000,10.2,25,0.00,0
6.063,-7.81,-0.47,-8.59,0.00,14.81,25,16,7.1,14.36,13.92,-8.52,14.62,0.43,14.55,190,1.000,0.00,0.00,3,47.50,4.45,109,1.78,5.78,2085,33.28,8.87,0.00,8.94,0.000,10.2,25,0.00,0
6.144,-7.03,-0.08,-8.59,0.00,14.70,25,18,7.1,14.36,14.08,-8.44,14.59,0.43,14.56,190,1.000,0.00,0.00,3,47.50,4.38,109,1.80,5.84,2051,33.35,8.81,0.00,8.94,0.000,10.6,25,0.00,0
6.244,-7.81,0.08,-8.59,0.00,14.59,24,19,7.1,14.36,13.92,-8.31,14.56,0.44,14.55,190,1.000,0.00,0.00,3,47.50,4.43,109,1.80,5.92,2078,29.59,8.72,0.00,8.94,0.000,10.2,25,0.00,0
6.334,-8.59,0.23,-8.59,0.00,14.36,25,22,6.7,14.36,14.16,-8.39,14.52,0.44,14.69,190,1.000,0.00,0.00,3,47.50,4.43,109,1.78,5.90,2075,25.90,8.76,0.00,8.94,0.000,10.2,25,0.00,0
6.410,-9.38,0.31,-7.03,0.00,14.13,25,22,6.7,14.36,14.00,-8.52,14.51,0.42,14.88,190,1.000,0.00,0.00,3,47.50,4.48,109,1.74,5.84,2099,25.85,8.81,0.00,8.94,0.000,9.4,25,0.00,0
6.506,-11.72,0.31,-7.03,0.00,13.78,25,23,5.1,14.36,14.24,-8.71,14.51,0.40,15.17,190,1.000,0.00,0.00,3,48.00,3.98,109,1.72,5.59,2074,13.44,8.98,0.00,8.94,0.000,9.0,25,0.00,0
6.588,-14.06,0.23,-7.03,0.00,13.55,25,23,0.0,14.36,13.92,-8.97,14.53,0.38,15.31,190,1.000,0.00,0.00,3,47.00,4.05,109,1.68,5.38,2108,11.08,9.27,0.00,0.00,0.000,8.6,25,0.00,0
6.663,0.00,0.16,-7.03,0.00,13.21,15,14,0.0,14.36,14.24,-9.31,14.54,0.36,15.42,190,1.000,0.00,0.00,3,43.00,0.00,109,1.66,5.14,2095,9.43,9.52,0.00,0.00,0.000,8.2,25,0.00,0
6.748,0.00,0.16,-7.03,0.00,13.21,4,6,0.0,14.36,14.24,-9.30,14.54,0.34,15.53,190,1.000,0.00,0.00,3,40.50,0.00,109,1.64,4.93,2055,8.08,9.72,0.00,0.00,0.000,7.8,25,0.00,0
6.834,0.00,0.16,-7.03,0.00,13.44,0,2,0.0,14.36,14.16,-9.29,14.54,0.32,15.54,190,1.000,0.00,0.00,3,38.00,0.00,109,1.58,5.01,2080,6.58,9.64,0.00,0.00,0.000,7.1,25,0.00,0
6.917,0.00,0.16,-7.03,0.00,13.55,0,2,0.0,14.36,14.16,-9.39,14.55,0.29,15.69,190,1.000,0.00,0.00,3,35.00,0.00,109,1.54,4.91,2062,4.93,9.74,0.00,0.00,0.000,6.7,25,0.00,0
6.981,0.00,0.16,-7.03,0.00,13.09,0,2,0.0,14.36,14.16,-9.60,14.54,0.27,15.32,190,1.000,0.00,0.00,3,32.50,0.00,109,1.50,4.76,2083,3.58,9.89,0.00,0.00,0.000,5.9,25,0.00,0
7.068,0.00,0.16,-7.03,0.00,12.40,0,2,0.0,14.36,14.16,-9.98,14.55,0.23,15.09,190,1.000,0.00,0.00,3,30.50,0.00,109,1.44,4.56,2072,1.93,10.10,0.00,0.00,0.000,5.5,25,0.00,0
7.157,0.00,0.16,-7.03,0.00,12.17,0,2,0.0,14.36,14.16,-10.15,14.55,0.21,14.98,190,1.000,0.00,0.00,3,29.50,0.00,109,1.44,4.33,2057,0.58,10.37,0.00,0.00,0.000,5.1,25,0.00,0
7.233,0.00,0.16,-7.03,0.00,11.94,0,2,0.0,14.36,14.08,-10.34,14.55,0.20,14.84,190,1.000,0.00,0.00,3,28.50,0.00,109,1.42,4.04,2076,0.00,10.62,0.00,0.00,0.000,5.1,25,0.00,0
7.330,0.00,0.16,-7.03,0.00,12.06,0,3,0.0,14.36,14.24,-10.38,14.54,0.19,14.82,190,1.000,0.00,0.00,3,27.50,0.00,109,1.42,3.93,2045,0.00,10.73,0.00,0.00,0.000,5.1,25,0.00,0
7.412,0.00,0.16,-7.03,0.00,12.29,0,2,0.0,14.36,14.24,-10.45,14.55,0.19,14.79,190,1.000,0.00,0.00,3,26.50,0.00,109,1.42,3.91,2065,0.00,10.76,0.00,0.00,0.000,5.5,25,0.00,0
7.499,0.00,0.16,-7.03,0.00,12.75,0,2,0.0,14.36,14.16,-10.43,14.55,0.19,14.74,190,1.000,0.00,0.00,3,25.00,0.00,109,1.44,3.85,2045,0.00,10.81,0.00,0.00,0.000,5.5,25,0.00,0
7.587,0.00,0.16,-7.03,0.00,13.09,0,2,0.0,14.36,14.24,-10.42,14.55,0.19,14.73,190,1.000,0.00,0.00,3,24.00,0.00,109,1.44,3.89,2045,0.00,10.77,0.00,0.00,0.000,5.5,25,0.00,0
7.662,0.00,0.16,-7.03,0.00,13.67,0,2,0.0,14.36,14.24,-10.39,14.55,0.20,14.70,190,1.000,0.00,0.00,3,24.00,0.00,109,1.44,3.91,2048,0.00,10.76,0.00,0.00,0.000,5.5,25,0.00,0
7.741,0.00,0.16,-7.03,0.00,14.24,0,2,0.0,14.36,14.16,-10.38,14.55,0.20,14.69,190,1.000,0.00,0.00,3,24.00,0.00,109,1.44,3.93,2038,0.00,10.73,0.00,0.00,0.000,5.5,24,0.00,0
7.832,0.00,0.16,-7.03,0.00,14.81,0,2,0.0,14.36,14.16,-10.32,14.55,0.20,14.68,190,1.000,0.00,0.00,3,24.00,0.00,109,1.44,3.96,2042,0.00,10.68,0.00,0.00,0.000,5.5,24,0.00,0
7.928,0.00,0.16,-7.03,0.00,15.39,0,2,0.0,14.36,14.24,-10.37,14.55,0.20,14.67,190,1.000,0.00,0.00,3,24.00,0.00,109,1.44,3.94,2021,0.00,10.72,0.00,0.00,0.000,5.5,24,0.00,0
8.015,0.00,0.16,-7.03,0.00,15.96,0,2,0.0,14.36,14.16,-10.35,14.55,0.20,14.66,190,1.000,0.00,0.00,3,24.00,0.00,109,1.42,3.96,2012,0.00,10.68,0.00,0.00,0.000,5.5,24,0.00,0
8.105,0.00,0.16,-7.03,0.00,17.34,0,2,0.0,14.36,14.24,-10.26,14.55,0.19,14.56,190,1.000,0.00,0.00,3,24.00,0.00,109,1.42,4.00,2016,0.00,10.65,0.00,0.00,0.000,5.1,24,0.00,0
8.205,0.00,0.16,-7.03,0.00,18.60,0,2,0.0,14.36,14.24,-10.07,14.55,0.19,14.56,190,1.000,0.00,0.00,3,24.00,0.00,109,1.42,4.22,2009,0.00,10.44,0.00,0.00,0.000,5.1,24,0.00,0
8.296,0.00,0.16,-7.03,0.00,20.44,0,2,0.0,14.36,14.24,-9.88,14.55,0.19,14.56,190,1.000,0.00,0.00,3,24.00,0.00,109,1.42,4.31,2004,0.00,10.35,0.00,0.00,0.000,5.1,24,0.00,0
8.382,0.00,0.16,-7.03,0.00,20.44,0,2,0.0,14.36,14.16,-9.85,14.55,0.19,14.56,190,1.000,0.00,0.00,3,24.00,0.00,109,1.42,4.47,1972,0.00,10.19,0.00,0.00,0.000,5.5,24,0.00,0
8.475,0.00,0.16,-7.03,0.00,20.44,0,2,0.0,14.36,14.24,-9.76,14.55,0.19,14.56,190,1.000,0.00,0.00,3,24.00,0.00,109,1.42,4.51,1980,0.00,10.15,0.00,0.00,0.000,5.1,24,0.00,0
8.569,0.00,0.16,-7.03,0.00,20.44,0,2,0.0,14.36,14.16,-9.76,14.55,0.19,14.56,190,1.000,0.00,0.00,3,24.00,0.00,109,1.42,4.52,1957,0.00,10.14,0.00,0.00,0.000,5.1,24,0.00,0
8.655,0.00,0.16,-7.03,0.00,20.44,0,2,0.0,14.36,14.16,-9.73,14.55,0.19,14.56,190,1.000,0.00,0.00,3,24.00,0.00,109,1.42,4.54,1961,0.00,10.12,0.00,0.00,0.000,5.1,24,0.00,0
8.734,0.00,0.16,-7.03,0.00,20.44,0,2,0.0,14.36,14.16,-9.76,14.55,0.19,14.56,190,1.000,0.00,0.00,3,24.00,0.00,109,1.42,4.54,1926,0.00,10.12,0.00,0.00,0.000,5.1,24,0.00,0
