Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Gear Position (gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Volts (V),Man Abs Press (psi),RPM (RPM),Req Torque (Nm),TD Boost Error (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-23702][2021 USDM WRX STI COBB Custom Features Gen3][Reflash: LucasW_21STI_STG1e_COBBSF_93oct.ptm - Realtime: LucasW_21STI_STG1e_COBBSF_93oct.ptm]"
0.000,0.00,-0.31,-7.03,0.00,20.44,12,4,4.3,14.36,14.00,-9.73,14.59,0.29,12.16,192,1.000,0.00,0.00,2,40.50,4.45,115,1.70,4.56,2320,11.95,10.05,0.00,8.94,0.000,9.0,20,0.00,0
0.045,0.00,-0.31,-7.03,0.00,20.44,19,5,5.1,14.36,14.08,-9.69,14.59,0.32,12.14,192,1.000,0.00,0.00,2,26.00,4.97,113,1.70,4.62,2330,12.52,9.99,0.00,8.94,0.000,9.0,20,0.00,0
0.155,0.00,-0.31,-7.03,0.00,20.44,25,7,4.7,14.36,14.08,-9.84,14.59,0.32,12.17,192,1.000,0.00,0.00,2,43.50,5.09,113,1.70,4.45,2385,11.80,10.16,0.00,8.94,0.000,9.0,20,0.00,0
0.255,0.00,-0.31,-7.03,0.00,20.33,26,9,4.3,14.36,14.08,-9.93,14.58,0.32,12.17,192,1.000,0.00,0.00,2,43.00,5.03,113,1.70,4.39,2359,11.16,10.24,0.00,8.94,0.000,9.0,20,0.00,0
0.342,0.00,-0.31,-7.03,0.00,17.23,25,11,4.3,14.36,14.16,-9.92,14.59,0.32,12.17,192,1.000,0.00,0.00,2,43.00,5.04,113,1.70,4.39,2362,11.15,10.24,0.00,8.94,0.000,9.0,20,0.00,0
0.457,0.00,-0.31,-7.03,0.00,14.81,24,13,4.7,14.36,14.08,-9.94,14.58,0.32,14.58,192,1.000,0.00,0.00,2,43.00,4.60,113,1.70,4.35,2395,11.79,10.22,0.00,8.94,0.000,9.0,20,0.00,0
0.539,0.00,-0.31,-7.03,0.00,13.55,24,16,4.3,14.36,14.16,-9.94,13.85,0.32,14.04,192,1.000,0.00,0.00,2,43.00,4.57,113,1.70,4.33,2381,11.14,10.30,0.00,8.94,0.000,9.0,21,0.00,0
0.648,0.00,-0.31,-7.03,0.00,12.63,24,18,4.3,14.36,14.16,-9.98,13.85,0.32,14.04,192,1.000,0.00,0.00,2,43.00,4.59,113,1.70,4.33,2393,11.13,10.28,0.00,8.94,0.000,9.0,21,0.00,0
0.731,0.00,-0.31,-7.03,0.00,12.52,24,20,4.7,14.36,14.16,-9.97,13.85,0.32,14.03,192,1.000,0.00,0.00,2,42.50,4.64,113,1.70,4.33,2417,11.67,10.28,0.00,8.94,0.000,9.0,21,0.00,0
0.823,0.00,-0.31,-7.03,0.00,12.75,24,22,3.5,14.36,14.08,-9.95,13.85,0.32,14.02,192,1.000,0.00,0.00,2,43.00,4.61,113,1.72,4.35,2402,10.22,10.27,0.00,8.94,0.000,9.0,21,0.00,0
0.901,0.00,-0.31,-7.03,0.00,12.86,24,23,3.5,14.36,13.84,-9.92,13.85,0.32,14.00,192,1.000,0.00,0.00,2,43.00,4.66,113,1.70,4.39,2425,9.10,10.22,0.00,8.94,0.000,9.0,21,0.00,0
1.005,0.00,-0.31,-7.03,0.00,12.86,25,23,4.3,14.36,14.16,-9.99,13.85,0.32,14.02,192,1.000,0.00,0.00,2,42.50,4.63,113,1.68,4.35,2410,10.39,10.27,0.00,8.94,0.000,9.0,21,0.00,0
1.095,0.00,-0.31,-7.03,0.00,12.86,25,24,3.9,14.36,14.08,-10.03,13.85,0.31,14.03,192,1.000,0.00,0.00,2,42.00,4.67,113,1.70,4.29,2430,9.59,10.33,0.00,8.94,0.000,9.0,21,0.00,0
1.217,0.00,-0.31,-7.03,0.00,12.86,24,24,3.5,14.36,14.00,-10.06,13.85,0.31,14.03,192,1.000,0.00,0.00,2,40.50,4.75,113,1.68,4.25,2472,9.02,10.37,0.00,8.94,0.000,9.0,21,0.00,0
1.305,0.00,-0.31,-7.03,0.00,12.86,24,23,3.9,14.36,14.00,-10.11,13.89,0.31,14.04,192,1.000,0.00,0.00,2,40.50,4.81,113,1.70,4.20,2504,9.18,10.43,0.00,8.94,0.000,9.0,21,0.00,0
1.395,0.00,-0.31,-7.03,0.00,12.86,24,22,3.9,14.36,14.16,-10.06,13.92,0.31,14.03,192,1.000,0.00,0.00,2,40.50,4.81,113,1.72,4.20,2506,9.18,10.41,0.00,8.94,0.000,9.0,21,0.00,0
1.498,0.00,-0.31,-7.03,0.00,12.98,24,22,4.3,14.36,14.08,-10.06,13.99,0.31,14.02,192,1.000,0.00,0.00,2,40.50,4.84,113,1.70,4.25,2522,9.70,10.37,0.00,8.94,0.000,9.0,21,0.00,0
1.571,0.00,-0.31,-7.03,0.00,13.09,24,21,4.3,14.36,14.08,-10.05,14.03,0.32,14.02,192,1.000,0.00,0.00,2,40.50,4.83,113,1.70,4.23,2518,9.63,10.38,0.00,8.94,0.000,9.0,21,0.00,0
1.642,0.00,-0.31,-7.03,0.00,13.09,24,21,3.9,14.36,14.08,-10.05,14.11,0.31,14.07,192,1.000,0.00,0.00,2,40.50,4.87,113,1.72,4.23,2536,9.10,10.38,0.00,8.94,0.000,9.0,21,0.00,0
1.730,0.00,-0.31,-7.03,0.00,13.09,24,20,4.3,14.36,14.00,-10.08,14.14,0.32,14.11,192,1.000,0.00,0.00,2,40.00,4.87,113,1.72,4.23,2535,9.54,10.40,0.00,8.94,0.000,9.0,22,0.00,0
