Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Gear Position (gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Volts (V),Man Abs Press (psi),RPM (RPM),Req Torque (Nm),TD Boost Error (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-23702][2021 USDM WRX STI COBB Custom Features Gen3][Reflash: LucasW_21STI_STG1e_COBBSF_93oct.ptm - Realtime: LucasW_21STI_STG1e_COBBSF_93oct.ptm]"
0.000,-0.78,1.17,-10.16,0.00,14.24,3,0,0.0,14.36,14.40,-7.46,14.09,0.55,14.13,95,1.000,0.00,0.00,0,1.50,4.26,97,1.76,6.83,1534,0.00,1.51,0.00,0.00,0.000,10.6,0,0.00,0
0.003,-0.78,1.17,-9.38,0.00,14.47,3,0,0.0,14.36,14.32,-7.46,14.09,0.56,14.11,95,1.000,0.00,0.00,0,1.00,4.26,97,1.76,6.85,1538,0.00,1.50,0.00,0.00,0.000,10.6,0,0.00,0
0.110,0.00,1.25,-9.38,0.00,14.59,3,0,0.0,14.36,14.48,-7.44,14.08,0.56,14.09,95,1.000,0.00,0.00,0,1.50,4.25,97,1.76,6.85,1534,0.00,1.51,0.00,0.00,0.000,10.6,0,0.00,0
0.244,0.00,1.25,-9.38,0.00,14.59,3,0,0.0,14.36,14.48,-7.48,14.08,0.56,14.13,97,1.000,0.00,0.00,0,1.00,4.26,97,1.76,6.81,1538,0.00,1.57,0.00,0.00,0.000,10.2,0,0.00,0
0.327,0.78,1.25,-9.38,0.00,14.59,3,0,0.0,14.36,14.40,-7.47,14.08,0.56,14.12,97,1.000,0.00,0.00,0,1.00,4.26,97,1.76,6.81,1537,0.00,1.57,0.00,0.00,0.000,10.2,0,0.00,0
0.428,0.78,1.25,-9.38,0.00,14.59,3,0,0.0,14.36,14.48,-7.50,14.08,0.56,14.10,97,1.000,0.00,0.00,0,2.00,4.24,97,1.76,6.81,1528,0.00,1.57,0.00,0.00,0.000,10.2,0,0.00,0
0.534,1.56,1.25,-9.38,0.00,14.59,3,0,0.0,14.36,14.40,-7.53,14.08,0.55,14.11,97,1.000,0.00,0.00,0,2.50,4.22,97,1.74,6.79,1523,0.00,1.58,0.00,0.00,0.000,10.2,0,0.00,0
0.627,1.56,1.25,-8.59,0.00,14.59,3,0,0.0,14.36,14.48,-7.53,14.08,0.55,14.15,97,1.000,0.00,0.00,0,2.00,4.24,97,1.76,6.73,1528,0.00,1.65,0.00,0.00,0.000,10.2,0,0.00,0
0.712,2.34,1.33,-7.03,0.00,14.47,3,0,0.0,14.36,14.48,-7.55,14.08,0.55,14.13,97,1.000,0.00,0.00,0,2.00,4.24,97,1.76,6.75,1529,0.00,1.65,0.00,0.00,0.000,10.2,0,0.00,0
0.800,2.34,1.25,-7.03,0.00,14.47,3,0,0.0,14.36,14.48,-7.59,14.08,0.54,14.15,97,1.000,0.00,0.00,0,1.50,4.26,97,1.76,6.71,1536,0.00,1.71,0.00,0.00,0.000,10.2,0,0.00,0
