Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Gear Position (gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Volts (V),Man Abs Press (psi),RPM (RPM),Req Torque (Nm),TD Boost Error (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-23702][2021 USDM WRX STI COBB Custom Features][Reflash: Stage1+SF 93 v400 Boost Select.ptm - Realtime: Stage1+SF 93 v400 Boost Select.ptm]"
0.000,-1.56,0.00,0.00,0.00,13.44,0,10,0.0,14.36,14.40,-7.05,13.73,0.58,13.84,68,1.000,0.00,0.00,0,0.50,4.77,59,1.86,7.25,1596,0.00,-3.83,0.00,0.00,0.000,10.6,0,0.00,0
0.039,-1.56,0.00,0.00,0.00,13.55,0,10,0.0,14.36,14.48,-7.03,13.77,0.58,13.84,68,1.000,0.00,0.00,0,0.50,4.75,59,1.84,7.29,1590,0.00,-3.82,0.00,0.00,0.000,10.6,0,0.00,0
0.177,-2.34,0.00,0.00,0.00,13.67,0,10,0.0,14.36,14.48,-7.04,13.85,0.58,13.84,68,1.000,0.00,0.00,0,0.50,4.79,59,1.86,7.29,1604,0.00,-3.85,0.00,0.00,0.000,10.6,0,0.00,0
0.348,-2.34,0.00,0.00,0.00,13.67,0,10,0.0,14.36,14.56,-7.03,13.90,0.58,13.84,68,1.000,0.00,0.00,0,0.50,4.78,59,1.86,7.27,1602,0.00,-3.83,0.00,0.00,0.000,10.6,0,0.00,0
0.484,-2.34,0.00,0.00,0.00,13.67,0,10,0.0,14.36,14.48,-7.01,13.95,0.59,13.84,70,1.000,0.00,0.00,0,2.00,4.79,59,1.86,7.29,1602,0.00,-3.82,0.00,0.00,0.000,10.6,0,0.00,0
0.662,-3.12,0.00,0.00,0.00,13.67,0,10,0.0,14.36,14.56,-7.05,13.97,0.59,13.84,70,1.000,0.00,0.00,0,2.00,4.77,59,1.84,7.31,1599,0.00,-3.84,0.00,0.00,0.000,10.6,0,0.00,0
0.779,-3.12,0.00,0.00,0.00,13.78,0,10,0.0,14.36,14.48,-7.03,13.97,0.58,13.84,70,1.000,0.00,0.00,0,3.00,4.77,59,1.86,7.29,1596,0.00,-3.84,0.00,0.00,0.000,10.6,0,0.00,0
0.931,-3.91,0.00,0.00,0.00,13.78,0,10,0.0,14.36,14.48,-7.05,13.97,0.59,13.84,70,1.000,0.00,0.00,0,3.00,4.75,59,1.86,7.33,1589,0.00,-3.81,0.00,0.00,0.000,10.6,0,0.00,0
1.069,-3.91,0.00,0.00,0.00,13.90,0,10,0.0,14.36,14.40,-7.00,13.97,0.59,13.84,70,1.000,0.00,0.00,0,2.00,4.77,59,1.84,7.35,1596,0.00,-3.87,0.00,0.00,0.000,10.6,0,0.00,0
1.227,-3.91,0.00,0.00,0.00,13.78,0,10,0.0,14.36,14.48,-6.99,13.97,0.59,13.84,70,1.000,0.00,0.00,0,1.00,4.82,59,1.86,7.31,1614,0.00,-3.86,0.00,0.00,0.000,10.6,0,0.00,0
