Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Gear Position (gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Volts (V),Man Abs Press (psi),RPM (RPM),Req Torque (Nm),TD Boost Error (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-23702][2021 USDM WRX STI COBB Custom Features][Reflash: Stage1+SF 93 v400 Boost Select.ptm - Realtime: Stage1+SF 93 v400 Boost Select.ptm]"
0.000,0.00,0.00,0.00,0.00,14.24,0,0,0.0,14.21,14.24,-9.35,14.57,0.27,14.56,185,1.000,0.00,0.00,0,13.00,1.26,77,1.24,4.93,740,0.00,4.86,0.00,0.00,0.000,2.7,0,0.00,0
0.116,0.00,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.24,-9.32,14.55,0.27,14.56,185,1.000,0.00,0.00,0,12.50,1.27,77,1.22,4.91,742,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
0.264,-0.78,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.32,-9.31,14.56,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.25,77,1.22,4.95,734,0.00,4.86,0.00,0.00,0.000,2.7,0,0.00,0
0.428,-0.78,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.32,-9.30,14.55,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.25,77,1.24,4.97,734,0.00,4.86,0.00,0.00,0.000,2.7,0,0.00,0
0.554,-0.78,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.24,-9.29,14.56,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.26,77,1.20,4.97,738,0.00,4.85,0.00,0.00,0.000,2.7,0,0.00,0
0.714,-1.56,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.32,-9.30,14.56,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.25,77,1.22,4.99,732,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
0.850,-1.56,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.24,-9.30,14.55,0.27,14.56,183,1.000,0.00,0.00,0,13.50,1.24,77,1.22,4.97,727,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
1.004,-1.56,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.32,-9.31,14.56,0.27,14.56,185,1.000,0.00,0.00,0,14.00,1.23,77,1.20,4.99,720,0.00,4.82,0.00,0.00,0.000,2.7,0,0.00,0
1.157,-1.56,0.00,0.00,0.00,14.36,0,0,0.0,14.21,14.24,-9.32,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.00,1.24,77,1.22,4.97,726,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
1.307,-1.56,0.08,0.00,0.00,14.36,0,0,0.0,14.21,14.24,-9.31,14.56,0.27,14.56,183,1.000,0.00,0.00,0,15.50,1.21,77,1.20,4.95,706,0.00,4.81,0.00,0.00,0.000,2.7,0,0.00,0
1.444,-1.56,0.08,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.29,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.50,1.20,77,1.22,4.97,702,0.00,4.82,0.00,0.00,0.000,2.7,0,0.00,0
1.589,-1.56,0.00,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.24,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.00,1.21,77,1.20,5.03,712,0.00,4.76,0.00,0.00,0.000,2.4,0,0.00,0
1.739,-1.56,0.08,0.00,0.00,14.47,0,0,0.0,14.21,14.24,-9.24,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.50,1.22,77,1.22,5.01,714,0.00,4.77,0.00,0.00,0.000,2.4,0,0.00,0
1.894,-2.34,0.00,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.30,14.56,0.27,14.56,183,1.000,0.00,0.00,0,15.00,1.21,77,1.18,4.99,712,0.00,4.82,0.00,0.00,0.000,2.4,0,0.00,0
2.034,-2.34,0.00,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.30,14.57,0.27,14.56,183,1.000,0.00,0.00,0,15.00,1.21,77,1.22,5.01,708,0.00,4.82,0.00,0.00,0.000,2.4,0,0.00,0
2.187,-2.34,0.00,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.31,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.50,1.20,77,1.20,4.97,704,0.00,4.83,0.00,0.00,0.000,2.4,0,0.00,0
2.329,-2.34,0.08,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.31,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.50,1.21,77,1.22,4.97,711,0.00,4.80,0.00,0.00,0.000,2.4,0,0.00,0
2.484,-2.34,0.08,0.00,0.00,14.47,0,0,0.0,14.21,14.24,-9.29,14.56,0.27,14.56,183,1.000,0.00,0.00,0,16.00,1.21,77,1.20,4.97,708,0.00,4.81,0.00,0.00,0.000,2.4,0,0.00,0
2.635,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.29,14.57,0.27,14.56,183,1.000,0.00,0.00,0,15.00,1.18,77,1.22,4.97,694,0.00,4.80,0.00,0.00,0.000,2.4,0,0.00,0
2.776,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.26,14.57,0.27,14.56,183,1.000,0.00,0.00,0,15.50,1.19,77,1.20,5.01,697,0.00,4.81,0.00,0.00,0.000,2.4,0,0.00,0
2.920,-2.34,0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.24,-9.24,14.56,0.27,14.56,183,1.000,0.00,0.00,0,16.00,1.18,77,1.20,5.03,691,0.00,4.81,0.00,0.00,0.000,2.4,0,0.00,0
3.068,-2.34,0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.25,14.56,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.20,77,1.22,5.05,703,0.00,4.77,0.00,0.00,0.000,2.4,0,0.00,0
3.221,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.24,-9.25,14.56,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.18,77,1.20,5.03,694,0.00,4.78,0.00,0.00,0.000,2.4,0,0.00,0
3.366,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.25,14.57,0.27,14.56,185,1.000,0.00,0.00,0,14.50,1.21,77,1.22,5.05,710,0.00,4.74,0.00,0.00,0.000,2.4,0,0.00,0
3.513,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.24,-9.27,14.57,0.27,14.56,185,1.000,0.00,0.00,0,14.50,1.22,77,1.20,5.01,716,0.00,4.77,0.00,0.00,0.000,2.4,0,0.00,0
3.661,-2.34,0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.26,14.56,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.23,77,1.22,4.97,723,0.00,4.77,0.00,0.00,0.000,2.4,0,0.00,0
3.811,-2.34,0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.16,-9.30,14.56,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.23,77,1.20,4.97,722,0.00,4.82,0.00,0.00,0.000,2.7,0,0.00,0
3.959,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.40,-9.29,14.56,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.21,77,1.20,4.97,706,0.00,4.81,0.00,0.00,0.000,2.7,0,0.00,0
4.109,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.24,-9.29,14.57,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.25,77,1.22,4.99,732,0.00,4.82,0.00,0.00,0.000,2.7,0,0.00,0
4.254,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.30,14.57,0.27,14.56,185,1.000,0.00,0.00,0,14.00,1.22,77,1.20,4.97,716,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
4.405,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.30,14.57,0.27,14.56,185,1.000,0.00,0.00,0,14.00,1.21,77,1.22,4.99,709,0.00,4.82,0.00,0.00,0.000,2.7,0,0.00,0
4.558,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.40,-9.31,14.56,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.20,77,1.20,4.97,705,0.00,4.83,0.00,0.00,0.000,2.4,0,0.00,0
4.696,-2.34,-0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.24,-9.30,14.57,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.20,77,1.22,4.97,702,0.00,4.80,0.00,0.00,0.000,2.4,0,0.00,0
4.854,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.25,14.57,0.27,14.56,185,1.000,0.00,0.00,0,14.50,1.22,77,1.20,5.03,714,0.00,4.77,0.00,0.00,0.000,2.4,0,0.00,0
4.996,-2.34,0.00,0.00,0.00,14.70,0,0,0.0,14.21,14.24,-9.26,14.57,0.27,14.56,185,1.000,0.00,0.00,0,14.50,1.21,77,1.22,4.99,708,0.00,4.76,0.00,0.00,0.000,2.4,0,0.00,0
5.147,-2.34,0.00,0.00,0.00,14.70,0,0,0.0,14.21,14.32,-9.24,14.57,0.27,14.56,185,1.000,0.00,0.00,0,13.00,1.23,77,1.18,5.01,721,0.00,4.78,0.00,0.00,0.000,2.4,0,0.00,0
5.292,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.29,14.57,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.20,77,1.22,4.97,702,0.00,4.83,0.00,0.00,0.000,2.4,0,0.00,0
5.449,-2.34,-0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.31,14.58,0.27,14.56,185,1.000,0.00,0.00,0,14.50,1.22,77,1.18,4.97,717,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
5.592,-2.34,-0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.31,14.58,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.20,77,1.22,4.97,706,0.00,4.86,0.00,0.00,0.000,2.7,0,0.00,0
5.739,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.30,14.57,0.27,14.56,185,1.000,0.00,0.00,0,14.50,1.20,77,1.20,5.01,702,0.00,4.82,0.00,0.00,0.000,2.7,0,0.00,0
5.886,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.24,-9.29,14.57,0.27,14.56,185,1.000,0.00,0.00,0,14.50,1.21,77,1.22,5.01,710,0.00,4.78,0.00,0.00,0.000,2.7,0,0.00,0
6.035,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.25,14.57,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.20,77,1.20,5.01,704,0.00,4.76,0.00,0.00,0.000,2.4,0,0.00,0
6.179,-2.34,0.00,0.00,0.00,14.70,0,0,0.0,14.21,14.32,-9.26,14.58,0.27,14.56,185,1.000,0.00,0.00,0,14.00,1.23,77,1.22,5.01,719,0.00,4.78,0.00,0.00,0.000,2.4,0,0.00,0
6.330,-1.56,-0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.24,14.58,0.27,14.56,185,1.000,0.00,0.00,0,14.50,1.20,77,1.18,5.01,704,0.00,4.76,0.00,0.00,0.000,2.7,0,0.00,0
6.482,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.24,-9.24,14.57,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.20,77,1.22,5.01,704,0.00,4.77,0.00,0.00,0.000,2.4,0,0.00,0
6.625,-1.56,-0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.27,14.57,0.27,14.56,185,1.000,0.00,0.00,0,15.00,1.21,79,1.18,5.03,710,0.00,4.81,0.00,0.00,0.000,2.4,0,0.00,0
6.777,-1.56,-0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.26,14.57,0.27,14.56,185,1.000,0.00,0.00,0,14.50,1.21,79,1.22,5.05,707,0.00,4.78,0.00,0.00,0.000,2.4,0,0.00,0
6.927,-2.34,-0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.24,-9.27,14.58,0.27,14.56,185,1.000,0.00,0.00,0,16.00,1.18,79,1.20,5.01,694,0.00,4.80,0.00,0.00,0.000,2.4,0,0.00,0
7.080,-2.34,-0.08,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.20,14.58,0.27,14.56,185,1.000,0.00,0.00,0,14.00,1.23,79,1.22,5.09,722,0.00,4.75,0.00,0.00,0.000,2.4,0,0.00,0
7.219,-2.34,0.00,0.00,0.00,14.59,0,0,0.0,14.21,14.32,-9.16,14.57,0.27,14.56,185,1.000,0.00,0.00,1,18.50,1.20,79,1.20,5.10,704,0.00,4.69,0.00,0.00,0.000,2.7,0,0.00,0
7.362,-1.56,0.00,0.00,0.00,14.59,0,0,46.3,14.21,14.24,-9.20,14.57,0.27,14.56,185,1.000,0.00,0.00,1,16.50,1.58,79,1.84,5.07,741,0.00,4.70,0.00,0.00,0.000,19.2,0,0.00,0
7.509,-1.56,-0.08,0.00,0.00,14.70,0,0,0.0,14.21,14.40,-0.04,14.58,0.98,9.35,185,1.000,0.00,0.00,1,12.00,4.78,79,1.54,14.23,722,134.99,8.00,0.00,0.00,0.000,5.1,0,0.00,0
7.657,-1.56,0.00,0.00,0.00,14.47,1,0,0.0,14.21,14.32,-3.87,14.57,0.76,17.67,185,1.000,0.00,0.00,1,16.50,3.40,79,1.24,8.86,1328,0.00,-3.66,0.00,0.00,0.000,2.4,0,0.00,0
7.805,-4.69,0.00,0.00,0.00,12.86,0,0,0.0,14.21,14.24,-8.00,14.56,0.35,21.02,185,1.000,0.00,0.00,1,12.00,2.71,79,1.18,5.84,1591,0.00,2.28,0.00,0.00,0.000,2.4,0,0.00,0
7.951,-9.38,-0.31,0.00,0.00,11.83,0,1,3.1,14.21,14.24,-9.66,14.60,0.21,18.69,185,1.000,0.00,0.00,1,19.50,1.95,79,1.24,4.43,1527,0.00,4.01,0.00,0.00,0.000,3.9,0,0.00,0
8.104,-7.03,-0.39,0.00,0.00,13.09,0,0,3.5,14.21,14.32,-10.06,14.61,0.19,14.87,185,1.000,0.00,0.00,1,22.50,1.76,79,1.42,4.27,1378,11.34,5.17,0.00,0.00,0.000,5.1,0,0.00,0
8.248,-3.12,-0.55,0.00,0.00,14.81,1,0,4.3,14.21,14.32,-9.71,14.64,0.25,12.98,185,1.000,0.00,0.00,1,24.50,2.50,79,1.62,4.89,1300,12.53,5.08,0.00,0.00,0.000,7.5,0,0.00,0
8.403,0.78,-0.47,0.00,0.00,16.19,0,0,5.9,14.21,14.08,-8.63,14.65,0.35,13.21,185,1.000,0.00,0.00,1,29.00,3.27,79,1.64,5.76,1392,16.09,4.24,0.00,0.00,0.000,7.8,0,0.00,0
8.554,4.69,-0.08,0.00,0.00,16.31,0,1,5.9,14.21,14.24,-8.11,14.59,0.39,14.56,185,1.000,0.00,0.00,1,34.50,3.62,79,1.68,6.25,1543,17.36,3.42,0.00,0.00,0.000,8.2,0,0.00,0
8.691,3.91,0.08,0.00,0.00,15.16,0,1,5.5,14.21,14.24,-7.99,14.56,0.39,14.56,185,1.000,0.00,0.00,1,36.00,4.15,79,1.68,6.28,1770,15.46,2.90,0.00,0.00,0.000,8.2,0,0.00,0
8.846,0.78,0.16,0.00,0.00,14.01,1,2,5.1,14.21,14.16,-8.11,14.55,0.37,14.56,185,1.000,0.00,0.00,1,36.50,4.03,79,1.70,6.11,1888,13.19,3.24,0.00,0.00,0.000,8.6,0,0.00,0
8.988,-2.34,0.16,0.00,0.00,13.67,2,2,5.1,14.21,14.32,-8.36,14.55,0.35,14.60,185,1.000,0.00,0.00,1,35.50,3.63,79,1.70,5.92,1892,13.82,3.66,0.00,0.00,0.000,8.6,0,0.00,0
9.137,-3.12,0.08,0.00,0.00,14.01,3,1,5.1,14.21,14.08,-8.51,14.55,0.35,14.61,185,1.000,0.00,0.00,1,34.50,3.86,79,1.70,5.80,1809,13.88,3.77,0.00,0.00,0.000,8.6,0,0.00,0
9.289,-2.34,0.00,0.00,0.00,14.36,3,2,5.1,14.21,14.16,-8.47,14.56,0.36,14.59,185,1.000,0.00,0.00,1,34.50,3.63,79,1.72,5.84,1704,13.26,3.65,0.00,0.00,0.000,9.0,0,0.00,0
9.446,-1.56,0.00,0.00,0.00,14.70,3,2,4.7,14.21,14.08,-8.22,14.57,0.41,13.34,185,1.000,0.00,0.00,1,33.50,3.92,79,1.78,6.15,1532,12.88,3.30,0.00,0.00,0.000,9.8,1,0.00,0
9.592,0.00,0.08,0.00,0.00,15.16,3,1,4.3,14.36,14.08,-7.29,14.54,0.51,13.14,185,1.000,0.00,0.00,1,34.00,4.21,79,1.80,7.23,1408,14.48,2.50,0.00,0.00,0.000,10.2,1,0.00,0
9.729,0.78,0.00,0.00,0.00,15.04,3,1,4.3,14.36,14.32,-6.45,14.55,0.58,13.46,185,1.000,0.00,0.00,1,35.00,4.35,79,1.80,7.93,1360,14.67,1.85,0.00,0.00,0.000,10.2,2,0.00,0
9.884,0.00,0.00,0.00,0.00,14.36,2,1,4.3,14.21,14.00,-5.91,14.56,0.61,14.52,185,1.000,0.00,0.00,1,35.50,4.26,79,1.78,8.41,1332,15.10,1.37,0.00,0.00,0.000,10.2,2,0.00,0
10.026,-0.78,0.00,0.00,0.00,14.36,2,1,4.3,14.21,14.24,-5.68,14.56,0.62,14.52,185,1.000,0.00,0.00,1,35.50,4.17,79,1.78,8.66,1304,15.26,1.05,0.00,0.00,0.000,9.8,3,0.00,0
10.177,-1.56,0.00,0.00,0.00,14.36,1,1,4.3,14.21,14.16,-5.52,14.56,0.63,14.53,185,1.000,0.00,0.00,1,35.50,4.04,79,1.76,8.76,1262,14.64,0.90,0.00,0.00,0.000,9.8,3,0.00,0
10.321,-1.56,0.00,0.00,0.00,14.36,1,2,4.3,14.21,14.24,-5.44,14.56,0.63,14.54,185,1.000,0.00,0.00,1,35.50,3.88,81,1.76,8.88,1212,17.28,0.90,0.00,0.00,0.000,9.8,4,0.00,0
10.474,-2.34,0.00,0.00,0.00,14.36,0,2,3.5,14.21,14.32,-5.28,14.58,0.64,14.54,185,1.000,0.00,0.00,1,34.50,3.66,81,1.72,9.01,1145,13.74,0.87,0.00,0.00,0.000,9.0,4,0.00,0
10.624,-3.12,-0.08,0.00,0.00,14.24,0,2,3.9,14.21,14.00,-5.33,14.58,0.64,14.54,185,1.000,0.00,0.00,1,31.50,3.26,81,1.68,9.01,1018,13.55,0.88,0.00,0.00,0.000,8.2,5,0.00,0
10.776,-3.12,-0.08,0.00,0.00,14.36,1,2,3.9,14.21,14.24,-5.07,14.58,0.63,14.54,187,1.000,0.00,0.00,1,34.00,3.31,81,1.66,9.15,1109,16.04,0.69,0.00,0.00,0.000,8.2,6,0.00,0
10.924,-3.12,-0.08,0.00,0.00,14.59,0,3,3.9,14.21,14.16,-5.69,14.58,0.58,14.56,187,1.000,0.00,0.00,1,32.50,3.29,81,1.66,8.45,1185,13.64,0.84,0.00,0.00,0.000,8.2,6,0.00,0
11.069,-3.12,-0.16,0.00,0.00,14.59,0,0,3.9,14.21,14.16,-6.02,14.57,0.55,14.58,187,1.000,0.00,0.00,1,32.00,3.16,81,1.64,8.16,1236,12.85,1.52,0.00,0.00,0.000,7.8,6,0.00,0
11.214,-3.91,-0.08,0.00,0.00,14.36,0,1,3.5,14.21,14.32,-6.62,14.58,0.49,14.64,187,1.000,0.00,0.00,1,31.00,3.40,81,1.64,7.62,1328,13.49,1.76,0.00,0.00,0.000,7.8,7,0.00,0
11.364,-3.91,-0.08,0.00,0.00,14.47,0,2,4.3,14.21,14.08,-6.93,14.57,0.47,14.71,187,1.000,0.00,0.00,1,31.00,3.17,81,1.60,7.25,1350,12.97,2.20,0.00,0.00,0.000,7.1,7,0.00,0
11.507,-3.91,-0.08,0.00,0.00,14.59,0,3,3.9,14.21,14.24,-7.51,14.57,0.42,14.78,187,1.000,0.00,0.00,1,31.00,2.98,81,1.58,6.61,1399,13.57,2.68,0.00,0.00,0.000,6.7,7,0.00,0
11.658,-2.34,-0.08,0.00,0.00,14.81,1,5,3.9,14.21,14.24,-8.08,14.58,0.38,14.86,187,1.000,0.00,0.00,1,29.50,2.76,81,1.54,6.13,1438,11.64,3.02,0.00,0.00,0.000,5.9,7,0.00,0
11.805,-1.56,-0.08,0.00,0.00,15.04,2,7,3.9,14.21,14.24,-8.65,14.57,0.34,14.96,187,1.000,0.00,0.00,1,28.50,2.80,81,1.48,5.63,1460,11.57,3.54,0.00,0.00,0.000,5.5,7,0.00,0
11.956,0.78,-0.08,0.00,0.00,15.27,3,9,3.9,14.21,14.24,-9.24,14.58,0.30,14.99,187,1.000,0.00,0.00,1,28.00,2.86,81,1.50,4.87,1490,11.10,4.28,0.00,0.00,0.000,5.9,7,0.00,0
12.113,2.34,-0.16,0.00,0.00,15.50,3,10,3.9,14.21,14.08,-9.53,14.58,0.29,14.99,187,1.000,0.00,0.00,1,28.00,2.92,81,1.52,4.72,1520,11.58,4.53,0.00,0.00,0.000,5.9,8,0.00,0
12.261,3.12,-0.08,0.00,0.00,15.27,4,11,3.9,14.21,14.24,-9.64,14.58,0.29,14.95,187,1.000,0.00,0.00,1,28.50,2.95,81,1.54,4.66,1537,11.34,4.59,0.00,0.00,0.000,6.3,8,0.00,0
12.403,3.12,-0.08,0.00,0.00,14.93,6,13,3.9,14.21,14.16,-9.70,14.58,0.29,14.91,187,1.000,0.00,0.00,1,29.50,2.97,81,1.54,4.56,1548,11.85,4.60,0.00,0.00,0.000,6.3,8,0.00,0
12.545,3.12,-0.08,0.00,0.00,14.70,7,14,3.9,14.21,14.00,-9.73,14.58,0.30,14.88,187,1.000,0.00,0.00,1,32.00,3.02,81,1.56,4.54,1572,10.89,4.61,0.00,0.00,0.000,6.3,8,0.00,0
12.691,3.12,-0.08,0.00,0.00,14.59,10,16,3.9,14.21,14.24,-9.75,14.58,0.30,14.85,187,1.000,0.00,0.00,1,34.50,3.06,81,1.56,4.52,1594,9.87,4.58,0.00,0.00,0.000,6.7,8,0.00,0
12.837,2.34,-0.08,0.00,0.00,14.47,13,18,4.3,14.21,14.00,-9.76,14.58,0.30,14.82,187,1.000,0.00,0.00,1,36.50,3.10,81,1.56,4.49,1614,10.52,4.58,0.00,0.00,0.000,6.7,8,0.00,0
12.995,1.56,-0.08,0.00,0.00,14.36,15,19,3.9,14.21,14.32,-9.77,14.58,0.30,14.79,187,1.000,0.00,0.00,1,38.50,3.17,81,1.58,4.52,1653,11.24,4.66,0.00,0.00,0.000,7.1,9,0.00,0
13.131,1.56,-0.08,0.00,0.00,14.36,18,20,3.9,14.21,14.16,-9.70,14.58,0.30,14.76,187,1.000,0.00,0.00,1,39.00,3.20,81,1.58,4.56,1666,10.52,4.64,0.00,0.00,0.000,7.1,9,0.00,0
13.279,1.56,-0.08,0.00,0.00,14.36,19,21,3.5,14.21,14.16,-9.76,14.58,0.30,14.74,187,1.000,0.00,0.00,1,38.00,3.23,81,1.56,4.49,1684,9.80,4.69,0.00,0.00,0.000,6.7,9,0.00,0
13.433,0.00,-0.08,0.00,0.00,14.24,19,20,3.5,14.21,14.24,-9.86,14.58,0.28,14.74,187,1.000,0.00,0.00,1,37.50,2.95,81,1.54,4.39,1729,9.09,4.84,0.00,0.00,0.000,6.3,9,0.00,0
13.578,-1.56,-0.08,0.00,0.00,14.13,18,17,3.9,14.21,14.16,-9.95,14.58,0.27,14.74,187,1.000,0.00,0.00,1,37.00,2.98,81,1.54,4.29,1744,9.07,4.99,0.00,0.00,0.000,6.3,9,0.00,0
13.729,-1.56,-0.08,0.00,0.00,14.24,15,15,3.9,14.21,14.32,-10.03,14.58,0.27,14.71,187,1.000,0.00,0.00,1,37.00,2.97,79,1.56,4.25,1742,9.77,5.10,0.00,0.00,0.000,6.7,9,0.00,0
13.877,-1.56,-0.08,0.00,0.00,14.47,14,14,3.5,14.21,14.16,-10.00,14.58,0.27,14.70,187,1.000,0.00,0.00,1,37.00,3.04,79,1.54,4.23,1780,8.35,5.08,0.00,0.00,0.000,6.3,9,0.00,0
14.035,-1.56,-0.16,0.00,0.00,14.59,14,14,3.9,14.21,14.24,-10.12,14.59,0.26,14.70,187,1.000,0.00,0.00,1,36.50,3.06,79,1.54,4.14,1794,9.04,5.24,0.00,0.00,0.000,6.3,9,0.00,0
14.176,-1.56,-0.08,0.00,0.00,14.47,13,14,3.5,14.21,14.16,-10.14,14.58,0.26,14.67,187,1.000,0.00,0.00,1,36.50,3.07,79,1.56,4.14,1797,9.36,5.31,0.00,0.00,0.000,6.7,9,0.00,0
14.326,-2.34,-0.08,0.00,0.00,14.47,13,13,3.9,14.21,14.08,-10.09,14.58,0.26,14.66,187,1.000,0.00,0.00,1,36.50,3.11,79,1.56,4.20,1820,9.02,5.29,0.00,0.00,0.000,6.3,9,0.00,0
14.465,-1.56,-0.08,0.00,0.00,14.59,13,13,3.9,14.21,14.24,-10.14,14.58,0.26,14.66,187,1.000,0.00,0.00,1,36.50,3.10,79,1.56,4.14,1818,9.01,5.31,0.00,0.00,0.000,6.7,9,0.00,0
14.615,-2.34,-0.08,0.00,0.00,14.59,13,13,3.9,14.21,14.08,-10.15,14.58,0.26,14.65,187,1.000,0.00,0.00,1,36.50,3.16,79,1.56,4.12,1851,9.69,5.37,0.00,0.00,0.000,6.7,9,0.00,0
14.761,-1.56,-0.08,0.00,0.00,14.59,13,13,3.9,14.21,14.24,-10.10,14.58,0.26,14.63,187,1.000,0.00,0.00,1,37.00,3.14,79,1.58,4.20,1837,9.69,5.37,0.00,0.00,0.000,6.7,9,0.00,0
14.908,-1.56,-0.08,0.00,0.00,14.59,15,13,3.9,14.21,14.08,-10.06,14.58,0.27,14.62,187,1.000,0.00,0.00,1,37.50,3.19,79,1.58,4.20,1868,10.37,5.34,0.00,0.00,0.000,7.1,10,0.00,0
15.064,-2.34,-0.16,0.00,0.00,14.59,16,14,3.9,14.21,14.16,-10.07,14.58,0.27,14.61,187,1.000,0.00,0.00,1,37.50,3.21,79,1.58,4.20,1879,9.66,5.39,0.00,0.00,0.000,7.1,10,0.00,0
15.210,-2.34,-0.16,0.00,0.00,14.47,16,15,3.9,14.21,14.24,-10.09,14.59,0.27,14.61,187,1.000,0.00,0.00,1,37.50,3.19,79,1.58,4.20,1868,8.98,5.37,0.00,0.00,0.000,6.7,10,0.00,0
15.358,-3.12,-0.08,0.00,0.00,14.36,17,16,3.9,14.21,14.08,-10.12,14.58,0.27,14.61,187,1.000,0.00,0.00,1,37.50,3.27,79,1.58,4.14,1915,9.66,5.42,0.00,0.00,0.000,6.7,10,0.00,0
15.501,-3.91,-0.08,0.00,0.00,14.36,16,16,3.9,14.21,14.24,-10.18,14.58,0.26,14.61,187,1.000,0.00,0.00,1,37.50,3.28,79,1.60,4.10,1923,10.32,5.54,0.00,0.00,0.000,7.1,10,0.00,0
