Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Gear Position (gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Volts (V),Man Abs Press (psi),RPM (RPM),Req Torque (Nm),TD Boost Error (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-23702][2021 USDM WRX STI COBB Custom Features Gen3][Reflash: LucasW_21STI_STG1e_COBBSF_93oct.ptm - Realtime: LucasW_21STI_STG1e_COBBSF_93oct.ptm]"
0.000,-4.69,-0.31,-7.03,0.00,14.70,23,18,3.1,14.36,14.16,-10.17,14.59,0.30,15.40,187,1.000,0.00,0.00,5,38.50,4.45,102,1.70,4.14,2606,6.89,10.34,0.00,8.91,0.000,9.0,51,0.00,0
0.013,-4.69,-0.31,-7.03,0.00,14.70,23,18,3.1,14.36,14.08,-10.19,14.58,0.30,15.45,187,1.000,0.00,0.00,5,38.50,4.42,102,1.70,4.12,2589,6.89,10.37,0.00,8.91,0.000,9.0,51,0.00,0
0.055,-4.69,-0.23,-7.03,0.00,14.70,23,18,3.5,14.36,14.08,-10.13,14.57,0.30,15.45,187,1.000,0.00,0.00,5,38.50,4.43,102,1.72,4.14,2594,8.05,10.33,0.00,8.91,0.000,9.4,51,0.00,0
0.164,-4.69,-0.31,-7.03,0.00,14.70,23,18,3.5,14.36,14.00,-10.02,14.58,0.32,15.46,187,1.000,0.00,0.00,5,39.50,4.45,102,1.72,4.25,2610,7.97,10.21,0.00,8.91,0.000,9.4,51,0.00,0
0.262,-3.91,-0.31,-7.03,0.00,14.81,23,18,3.5,14.36,14.00,-9.97,14.58,0.32,15.48,187,1.000,0.00,0.00,5,39.50,4.45,102,1.74,4.31,2610,8.06,10.16,0.00,8.91,0.000,9.4,51,0.00,0
0.386,-2.34,-0.23,-7.03,0.00,15.04,23,18,3.9,14.36,14.08,-9.96,14.58,0.33,15.53,187,1.000,0.00,0.00,5,40.00,4.46,102,1.72,4.33,2613,8.54,10.13,0.00,8.91,0.000,9.4,51,0.00,0
0.491,-1.56,-0.23,-7.03,0.00,14.93,23,18,3.9,14.36,14.16,-9.98,14.58,0.33,15.57,187,1.000,0.00,0.00,5,40.00,4.46,102,1.74,4.31,2614,8.62,10.16,0.00,8.91,0.000,9.4,51,0.00,0
0.601,-2.34,-0.31,-7.03,0.00,14.59,23,18,4.3,14.36,14.00,-9.96,14.58,0.33,15.60,187,1.000,0.00,0.00,5,40.00,4.43,102,1.74,4.35,2594,9.24,10.12,0.00,8.91,0.000,9.4,51,0.00,0
0.697,-2.34,-0.31,-7.03,0.00,14.59,23,18,4.3,14.36,14.24,-9.96,14.58,0.33,15.56,187,1.000,0.00,0.00,5,40.00,4.46,102,1.74,4.33,2614,9.22,10.15,0.00,8.91,0.000,9.4,51,0.00,0
0.804,-2.34,-0.23,-7.03,0.00,14.59,23,18,4.3,14.36,14.00,-9.94,14.57,0.33,15.57,187,1.000,0.00,0.00,5,40.50,4.43,102,1.74,4.35,2597,9.22,10.12,0.00,8.91,0.000,9.4,51,0.00,0
0.890,-2.34,-0.31,-7.03,0.00,14.70,23,18,4.3,14.36,14.00,-9.94,14.58,0.33,15.57,187,1.000,0.00,0.00,5,40.50,4.43,102,1.74,4.39,2598,9.21,10.09,0.00,8.91,0.000,9.4,51,0.00,0
1.002,-1.56,-0.31,-7.03,0.00,14.70,23,18,4.3,14.36,14.16,-9.93,14.58,0.34,15.57,187,1.000,0.00,0.00,5,40.50,4.99,102,1.74,4.39,2600,9.10,10.09,0.00,8.91,0.000,9.4,51,0.00,0
1.103,-1.56,-0.31,-7.03,0.00,14.70,23,18,4.3,14.36,14.16,-9.90,14.58,0.34,15.67,187,1.000,0.00,0.00,5,40.50,4.47,102,1.74,4.43,2618,9.19,10.05,0.00,8.91,0.000,9.4,51,0.00,0
1.185,-1.56,-0.31,-7.03,0.00,14.59,23,17,3.9,14.36,14.16,-9.91,14.59,0.34,15.74,187,1.000,0.00,0.00,5,40.50,4.47,102,1.74,4.39,2618,8.51,10.09,0.00,8.91,0.000,9.4,51,0.00,0
1.250,-2.34,-0.23,-7.03,0.00,14.47,23,18,3.9,14.36,14.08,-9.92,14.59,0.33,15.71,187,1.000,0.00,0.00,5,40.50,4.44,102,1.74,4.39,2602,8.60,10.09,0.00,8.91,0.000,9.4,51,0.00,0
1.341,-2.34,-0.23,-7.03,0.00,14.47,23,17,4.3,14.36,14.16,-9.91,14.57,0.33,15.72,187,1.000,0.00,0.00,5,40.00,4.47,102,1.74,4.35,2621,9.07,10.12,0.00,8.91,0.000,9.4,51,0.00,0
1.415,-2.34,-0.23,-7.03,0.00,14.47,23,17,4.3,14.36,14.00,-9.92,14.57,0.33,15.73,187,1.000,0.00,0.00,5,40.00,4.47,102,1.74,4.37,2622,9.06,10.10,0.00,8.91,0.000,9.4,51,0.00,0
1.495,-2.34,-0.31,-7.03,0.00,14.59,23,17,3.9,14.36,14.08,-9.96,14.57,0.33,15.74,187,1.000,0.00,0.00,5,40.50,4.44,102,1.74,4.37,2604,8.59,10.10,0.00,8.91,0.000,9.4,51,0.00,0
1.573,-2.34,-0.31,-7.03,0.00,14.59,23,17,3.9,14.36,13.84,-9.93,14.58,0.33,15.75,187,1.000,0.00,0.00,5,40.50,4.44,102,1.74,4.39,2602,8.48,10.10,0.00,8.91,0.000,9.4,52,0.00,0
1.673,-2.34,-0.31,-7.03,0.00,14.59,23,17,3.9,14.36,14.08,-9.94,14.59,0.33,15.73,187,1.000,0.00,0.00,5,40.00,4.45,102,1.74,4.37,2605,8.58,10.10,0.00,8.91,0.000,9.4,52,0.00,0
1.775,-2.34,-0.31,-7.03,0.00,14.59,23,17,3.9,14.36,14.08,-9.93,14.59,0.33,15.71,187,1.000,0.00,0.00,5,40.00,4.47,102,1.74,4.37,2622,8.58,10.10,0.00,8.91,0.000,9.4,52,0.00,0
1.855,-2.34,-0.23,-7.03,0.00,14.59,23,17,3.9,14.36,14.00,-9.93,14.57,0.33,15.70,187,1.000,0.00,0.00,5,40.00,4.45,102,1.72,4.37,2607,8.47,10.10,0.00,8.91,0.000,9.4,52,0.00,0
1.940,-2.34,-0.23,-7.03,0.00,14.59,23,17,3.9,14.36,13.92,-9.92,14.57,0.33,15.70,187,1.000,0.00,0.00,5,39.50,4.48,102,1.74,4.37,2625,8.57,10.10,0.00,8.91,0.000,9.4,52,0.00,0
2.020,-2.34,-0.31,-7.03,0.00,14.59,23,17,3.9,14.36,14.16,-9.96,14.58,0.33,15.71,187,1.000,0.00,0.00,5,40.00,4.45,102,1.74,4.33,2610,8.90,10.13,0.00,8.91,0.000,9.4,52,0.00,0
2.095,-1.56,-0.31,-7.03,0.00,14.70,23,17,4.3,14.36,14.16,-9.94,14.58,0.33,15.68,187,1.000,0.00,0.00,5,39.50,4.49,102,1.74,4.35,2629,9.02,10.12,0.00,8.91,0.000,9.4,52,0.00,0
2.177,-1.56,-0.31,-7.03,0.00,14.70,23,17,3.9,14.36,13.92,-9.94,14.59,0.33,15.69,187,1.000,0.00,0.00,5,40.00,4.46,102,1.74,4.39,2611,8.51,10.07,0.00,8.91,0.000,9.4,52,0.00,0
